time,frequency,confidence
29.150,291.598,0.278761
29.200,293.823,0.218791
29.250,285.906,0.199918
29.300,293.021,0.467998
29.350,291.998,0.667256
29.400,290.976,0.677596
29.450,291.469,0.359479
29.500,288.477,0.120177
29.550,291.887,0.864520
29.600,292.612,0.933214
29.650,292.692,0.643485
29.700,292.187,0.608989
29.750,293.059,0.742673
29.800,293.722,0.774671
29.850,291.840,0.861647
29.900,292.778,0.903357
29.950,292.546,0.614193
30.000,292.065,0.883006
30.050,291.947,0.842289
30.100,292.686,0.619248
30.150,291.885,0.771497
30.200,293.652,0.830692
30.250,292.454,0.546417
30.300,284.446,0.597252
30.350,292.252,0.931704
30.400,292.208,0.864208
30.450,292.345,0.847501
30.500,292.915,0.917486
30.550,290.171,0.767050
30.600,293.379,0.913083
30.650,292.810,0.723882
30.700,292.141,0.736181
30.750,290.491,0.929168
30.800,292.423,0.898391
30.850,316.547,0.525340
30.900,351.103,0.882213
30.950,391.178,0.482308
31.000,390.166,0.620897
31.050,389.308,0.545304
31.100,390.171,0.806206
31.150,390.177,0.667408
31.200,377.385,0.870351
31.250,347.254,0.792936
31.300,331.824,0.238650
31.350,324.734,0.528326
31.400,297.344,0.307186
31.450,289.677,0.257688
31.500,291.133,0.538236
31.550,291.038,0.580055
31.600,292.935,0.629712
31.650,290.701,0.484709
31.700,291.997,0.567439
31.750,291.882,0.629678
31.800,290.379,0.864141
31.850,287.489,0.856984
31.900,293.268,0.567686
31.950,322.773,0.899113
32.000,373.111,0.879767
32.050,412.315,0.928511
32.100,470.514,0.877573
32.150,533.528,0.952759
32.200,586.588,0.932725
32.250,588.695,0.974935
32.300,581.449,0.962098
32.350,587.905,0.959631
32.400,588.316,0.971821
32.450,580.979,0.957863
32.500,585.153,0.960590
32.550,588.041,0.980584
32.600,579.819,0.936398
32.650,585.807,0.940551
32.700,589.600,0.982262
32.750,583.591,0.939167
32.800,586.970,0.964019
32.850,589.232,0.964088
32.900,586.686,0.909339
32.950,587.392,0.808410
33.000,587.773,0.467523
33.050,649.744,0.446147
33.100,585.262,0.217552
33.150,649.253,0.368027
33.200,659.996,0.381548
