time,frequency,confidence
19.350,585.419,0.751927
19.400,601.777,0.260435
19.450,660.244,0.943770
19.500,660.573,0.942737
19.550,670.793,0.533429
19.600,677.499,0.493899
19.650,661.407,0.957598
19.700,660.685,0.960045
19.750,658.147,0.842039
19.800,593.951,0.488955
19.850,524.757,0.728716
19.900,522.376,0.900370
19.950,521.997,0.890196
20.000,589.361,0.911009
20.050,584.650,0.811238
20.100,529.979,0.662400
20.150,524.603,0.312421
20.200,515.846,0.629465
20.250,486.045,0.389923
20.300,442.629,0.591363
20.350,398.266,0.822916
20.400,395.047,0.839204
20.450,397.446,0.821161
20.500,393.806,0.595379
20.550,395.255,0.336497
20.600,390.297,0.971389
20.650,386.852,0.966460
20.700,374.806,0.969259
20.750,361.662,0.972694
20.800,351.063,0.690674
20.850,348.936,0.878932
20.900,332.582,0.851663
20.950,333.098,0.847603
21.000,349.635,0.873181
21.050,333.725,0.939839
21.100,293.569,0.865061
21.150,294.669,0.968290
21.200,312.479,0.402429
21.250,330.259,0.946166
21.300,331.754,0.491819
21.350,374.938,0.914922
21.400,395.677,0.787563
21.450,394.711,0.359044
21.500,440.524,0.669569
21.550,494.133,0.965369
21.600,498.705,0.915386
21.650,528.255,0.899789
21.700,515.770,0.904109
21.750,516.793,0.913304
21.800,521.221,0.715562
21.850,523.299,0.516368
21.900,522.030,0.513345
21.950,518.476,0.895284
22.000,506.645,0.944658
22.050,490.335,0.375126
22.100,464.928,0.894219
22.150,444.486,0.501624
22.200,441.709,0.971488
22.250,444.100,0.897427
22.300,458.445,0.787370
22.350,458.249,0.789094
22.400,408.185,0.921925
22.450,398.751,0.881197
22.500,439.923,0.918604
22.550,440.926,0.957816
22.600,488.692,0.811547
22.650,492.000,0.921392
22.700,541.322,0.502974
22.750,549.722,0.925019
22.800,539.626,0.702396
22.850,615.920,0.862334
22.900,689.732,0.189457
22.950,791.411,0.782969
23.000,788.831,0.601812
23.050,702.135,0.838188
23.100,704.455,0.360149
23.150,661.291,0.962275
23.200,661.259,0.881727
23.250,588.352,0.972879
23.300,589.860,0.913111
23.350,555.610,0.926674
23.400,551.259,0.647562
23.450,498.288,0.932216
23.500,500.658,0.824442
23.550,440.268,0.695677
23.600,440.343,0.943533
23.650,392.059,0.700503
23.700,393.937,0.940963
23.750,353.446,0.694185
23.800,349.002,0.808939
23.850,339.629,0.473164
23.900,332.408,0.699045
23.950,293.204,0.763801
24.000,293.996,0.936300
24.050,323.290,0.456848
24.100,331.415,0.920130
24.150,352.717,0.817236
24.200,348.477,0.916229
24.250,348.747,0.914416
24.300,350.576,0.903975
24.350,353.340,0.556789
24.400,374.910,0.936444
24.450,389.731,0.952778
24.500,393.732,0.973244
24.550,419.520,0.674722
24.600,440.335,0.948316
24.650,438.734,0.900209
24.700,389.196,0.902151
24.750,387.840,0.878532
24.800,350.184,0.939906
24.850,347.765,0.933011
24.900,330.149,0.936792
24.950,328.847,0.923480
25.000,290.854,0.863810
25.050,294.476,0.965685
25.100,271.481,0.520143
25.150,261.539,0.958903
25.200,252.404,0.813215
25.250,247.957,0.859307
25.300,260.483,0.951848
25.350,261.174,0.921635
25.400,263.518,0.846200
25.450,294.779,0.947675
25.500,294.277,0.893301
25.550,297.674,0.911463
25.600,311.136,0.934870
25.650,345.477,0.238725
25.700,348.474,0.572961
25.750,331.916,0.561178
25.800,329.235,0.803193
25.850,290.868,0.864631
25.900,293.397,0.924067
25.950,263.693,0.886619
26.000,265.804,0.938066
26.050,246.755,0.827924
26.100,248.034,0.901838
26.150,269.248,0.458145
26.200,297.241,0.839830
26.250,321.083,0.788480
26.300,359.094,0.407626
26.350,397.455,0.729166
26.400,393.528,0.777292
26.450,392.788,0.689694
26.500,362.652,0.348880
26.550,330.654,0.671750
26.600,292.447,0.799948
26.650,293.908,0.966194
26.700,290.650,0.646098
26.750,292.786,0.577922
26.800,299.949,0.874655
26.850,325.908,0.537679
26.900,327.460,0.824580
26.950,292.368,0.926356
27.000,293.399,0.924671
27.050,305.477,0.792682
27.100,331.340,0.948174
27.150,358.449,0.764189
27.200,392.721,0.592462
27.250,391.937,0.499416
27.300,392.277,0.715643
27.350,393.147,0.753004
27.400,394.667,0.396204
27.450,347.357,0.590667
27.500,328.866,0.883869
27.550,327.806,0.865777
27.600,291.647,0.784043
27.650,293.954,0.971402
27.700,297.339,0.755628
27.750,310.960,0.936314
27.800,327.055,0.523002
27.850,340.541,0.849198
27.900,386.042,0.422157
27.950,395.105,0.669552
28.000,398.177,0.678785
28.050,360.685,0.736652
28.100,348.989,0.806696
28.150,347.904,0.240302
28.200,384.153,0.768915
28.250,438.241,0.578232
28.300,435.486,0.702715
28.350,396.520,0.601324
28.400,392.175,0.857438
28.450,367.220,0.764800
28.500,320.843,0.910339
28.550,296.928,0.483475
28.600,265.543,0.938527
28.650,267.728,0.822619
28.700,245.265,0.889130
28.750,259.869,0.514511
28.800,268.330,0.402227
28.850,257.559,0.267487
28.900,259.730,0.668138
28.950,264.318,0.883359
29.000,263.586,0.856242
29.050,264.443,0.573688
29.100,266.824,0.204138
29.150,262.993,0.265271
29.200,263.553,0.465657
29.250,292.920,0.888875
29.300,289.298,0.485972
29.350,292.326,0.487098
29.400,309.955,0.852811
29.450,323.328,0.696896
29.500,332.498,0.700480
29.550,329.220,0.295748
29.600,293.993,0.909006
29.650,293.415,0.769878
29.700,311.218,0.917115
29.750,329.637,0.887311
29.800,375.365,0.397256
29.850,393.551,0.722095
29.900,390.592,0.882426
29.950,392.468,0.778666
30.000,390.755,0.794437
30.050,390.492,0.867701
30.100,358.873,0.833413
30.150,329.972,0.862269
30.200,326.116,0.670833
30.250,293.275,0.945982
30.300,293.896,0.944129
30.350,316.458,0.779805
30.400,350.145,0.925647
30.450,404.206,0.571167
30.500,436.646,0.643701
30.550,424.085,0.888295
30.600,395.017,0.645642
30.650,392.119,0.826126
30.700,391.484,0.924670
30.750,392.967,0.951841
30.800,396.794,0.751453
30.850,391.007,0.483500
30.900,394.017,0.728999
30.950,395.383,0.769906
31.000,361.839,0.630151
31.050,319.639,0.551001
31.100,290.759,0.786824
31.150,293.627,0.953025
31.200,296.166,0.545147
31.250,264.377,0.877186
31.300,265.662,0.923612
31.350,245.922,0.898053
31.400,246.691,0.910601
31.450,284.078,0.659697
31.500,316.364,0.774064
31.550,343.657,0.815462
31.600,393.764,0.554505
31.650,393.115,0.671258
31.700,392.228,0.520461
31.750,391.491,0.530588
31.800,393.271,0.649472
31.850,363.913,0.842782
31.900,347.524,0.570167
31.950,349.866,0.863756
32.000,346.842,0.590353
32.050,343.708,0.952297
32.100,338.727,0.959159
32.150,347.368,0.580768
32.200,341.903,0.603995
32.250,332.865,0.786609
32.300,331.757,0.897732
32.350,351.690,0.774295
32.400,351.321,0.885751
32.450,348.231,0.734559
32.500,345.175,0.880596
32.550,347.799,0.609273
32.600,352.843,0.605140
32.650,354.267,0.356551
32.700,336.353,0.667217
32.750,332.408,0.878443
32.800,347.580,0.839022
32.850,391.427,0.495052
32.900,392.989,0.736018
32.950,392.637,0.814691
33.000,393.894,0.564942
33.050,394.173,0.673770
33.100,386.320,0.712690
33.150,337.443,0.784475
33.200,330.999,0.733065
33.250,331.798,0.875218
33.300,334.456,0.902732
33.350,336.663,0.896957
33.400,336.113,0.338667
33.450,334.759,0.756775
33.500,334.782,0.860682
33.550,333.677,0.947047
33.600,330.988,0.549142
33.650,331.813,0.879627
33.700,340.033,0.885601
33.750,338.643,0.925913
33.800,339.905,0.864577
33.850,330.264,0.654175
33.900,327.918,0.593527
33.950,329.983,0.795710
34.000,332.463,0.612600
34.050,330.199,0.833587
34.100,331.312,0.084573
34.150,343.981,0.890173
34.200,365.454,0.797588
34.250,393.492,0.548750
34.300,393.942,0.885795
34.350,377.648,0.423843
34.400,372.309,0.722639
34.450,385.947,0.863944
34.500,391.191,0.926338
34.550,387.428,0.776937
34.600,380.742,0.828536
34.650,388.764,0.711347
34.700,392.340,0.854506
34.750,389.051,0.933747
34.800,372.340,0.903856
34.850,371.480,0.936570
34.900,392.497,0.917294
34.950,392.210,0.960106
35.000,392.415,0.793572
35.050,387.315,0.894003
35.100,397.475,0.693396
35.150,394.701,0.536217
35.200,392.581,0.792075
35.250,374.077,0.569162
35.300,374.651,0.665987
35.350,394.106,0.924031
35.400,389.861,0.884687
35.450,396.499,0.754476
35.500,390.549,0.915129
35.550,373.321,0.912708
35.600,370.277,0.676869
35.650,401.153,0.880402
35.700,441.254,0.939229
35.750,496.784,0.612984
35.800,543.876,0.836726
35.850,587.522,0.724335
35.900,586.758,0.976482
35.950,591.944,0.373521
36.000,586.253,0.689494
36.050,550.529,0.409365
36.100,556.104,0.934264
